,Name,Year_of_Birth,Most_Common_Pronoun
0,Bronwyn Bancroft,1958.0,Female Pronouns
1,Felice Beato,1832.0,Male Pronouns
2,Jean Bellette,1908.0,Female Pronouns
3,Matthew Brettingham,1699.0,Male Pronouns
4,William Bruce (architect),1630.0,Male Pronouns
5,William Burges,1827.0,Male Pronouns
6,V. Gordon Childe,1892.0,Male Pronouns
7,O. G. S. Crawford,1886.0,Male Pronouns
8,Homer Davenport,1912.0,Male Pronouns
9,John Doubleday (restorer),1856.0,Male Pronouns
10,William Etty,1849.0,Male Pronouns
11,Lisa del Giocondo,1542.0,Female Pronouns
12,John Douglas (architect),1830.0,Male Pronouns
13,El Greco,1614.0,Male Pronouns
14,El Lissitzky,1890.0,Male Pronouns
15,Stefan Lochner,1451.0,Male Pronouns
16,Adolfo Farsari,1841.0,Male Pronouns
17,Florence Fuller,1867.0,Female Pronouns
18,Caspar David Friedrich,1774.0,Male Pronouns
19,Vincent van Gogh,1890.0,Male Pronouns
20,Ima Hogg,1900.0,Female Pronouns
21,Charles Holden,1960.0,Male Pronouns
22,Hu Zhengyan,1584.0,Male Pronouns
23,André Kertész,1894.0,Male Pronouns
24,Osbert Lancaster,1986.0,Male Pronouns
25,James B. Longacre,1869.0,Male Pronouns
26,Danie Mellor,1971.0,Male Pronouns
27,Henry Moore,1986.0,Male Pronouns
28,Benjamin Mountfort,1898.0,Male Pronouns
29,Margaret Murray,1963.0,Female Pronouns
30,Daisy Jugadai Napaltjarri,1955.0,Female Pronouns
31,Wintjiya Napaltjarri,1928.0,Female Pronouns
32,Makinti Napanangka,1930.0,Female Pronouns
33,Hilda Rix Nicholas,1884.0,Female Pronouns
34,Bronwyn Oliver,2006.0,Female Pronouns
35,Robert Peake the Elder,1619.0,Male Pronouns
36,I. M. Pei,1917.0,Male Pronouns
37,Minnie Pwerle,1915.0,Female Pronouns
38,Pierre Rossier,1829.0,Male Pronouns
39,Jacob van Ruisdael,1629.0,Male Pronouns
